InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,TotalPrice,Year,Month,DayOfWeek,Hour,Date,Region
551885,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,12,2011-05-05 09:18:00,2.95,16700,United Kingdom,35.400000000000006,2011,5,Thursday,9,2011-05-05,UK
577126,23084,RABBIT NIGHT LIGHT,24,2011-11-17 19:22:00,1.79,12406,Denmark,42.96,2011,11,Thursday,19,2011-11-17,Europe
560434,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,1,2011-07-18 15:56:00,6.63,15287,United Kingdom,6.63,2011,7,Monday,15,2011-07-18,UK
573137,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,1,2011-10-27 17:15:00,4.96,15287,United Kingdom,4.96,2011,10,Thursday,17,2011-10-27,UK
546648,20961,STRAWBERRY BATH SPONGE ,1,2011-03-15 14:15:00,2.46,15287,United Kingdom,2.46,2011,3,Tuesday,14,2011-03-15,UK
574481,23353,6 GIFT TAGS VINTAGE CHRISTMAS ,1,2011-11-04 12:45:00,0.83,18022,United Kingdom,0.83,2011,11,Friday,12,2011-11-04,UK
547358,22896,PEG BAG APPLES DESIGN,2,2011-03-22 12:25:00,2.55,15998,United Kingdom,5.1,2011,3,Tuesday,12,2011-03-22,UK
559125,23209,LUNCH BAG DOILEY PATTERN ,10,2011-07-06 12:32:00,1.65,13985,United Kingdom,16.5,2011,7,Wednesday,12,2011-07-06,UK
539434,85099B,JUMBO BAG RED RETROSPOT,1,2010-12-17 14:41:00,4.21,15287,United Kingdom,4.21,2010,12,Friday,14,2010-12-17,UK
571031,84876B,GREEN HEART COMPACT MIRROR,3,2011-10-13 12:30:00,1.25,15005,United Kingdom,3.75,2011,10,Thursday,12,2011-10-13,UK
540501,84951B,SET OF 4 BLACK LOVEBIRD COASTERS,12,2011-01-09 10:43:00,0.85,13162,United Kingdom,10.2,2011,1,Sunday,10,2011-01-09,UK
559529,20723,STRAWBERRY CHARLOTTE BAG,4,2011-07-10 12:03:00,0.85,14808,United Kingdom,3.4,2011,7,Sunday,12,2011-07-10,UK
576693,23086,ZINC  STAR T-LIGHT HOLDER ,144,2011-11-16 12:22:00,1.04,13199,United Kingdom,149.76,2011,11,Wednesday,12,2011-11-16,UK
538349,70006,LOVE HEART POCKET WARMER,1,2010-12-10 14:59:00,3.36,15287,United Kingdom,3.36,2010,12,Friday,14,2010-12-10,UK
536373,37370,RETRO COFFEE MUGS ASSORTED,6,2010-12-01 09:02:00,1.06,17850,United Kingdom,6.36,2010,12,Wednesday,9,2010-12-01,UK
560393,84508C,BLUE CIRCLES DESIGN TEDDY,2,2011-07-18 13:33:00,2.55,14808,United Kingdom,5.1,2011,7,Monday,13,2011-07-18,UK
552493,23199,JUMBO BAG APPLES,1,2011-05-09 16:21:00,4.13,15287,United Kingdom,4.13,2011,5,Monday,16,2011-05-09,UK
552285,22493,PAINT YOUR OWN CANVAS SET,1,2011-05-08 12:58:00,1.65,14684,United Kingdom,1.65,2011,5,Sunday,12,2011-05-08,UK
554160,21155,RED RETROSPOT PEG BAG,2,2011-05-23 11:49:00,2.55,17841,United Kingdom,5.1,2011,5,Monday,11,2011-05-23,UK
577506,47504H,ENGLISH ROSE SPIRIT LEVEL ,2,2011-11-20 12:40:00,0.79,13212,United Kingdom,1.58,2011,11,Sunday,12,2011-11-20,UK
564818,22631,CIRCUS PARADE LUNCH BOX ,1,2011-08-30 12:10:00,4.13,15287,United Kingdom,4.13,2011,8,Tuesday,12,2011-08-30,UK
543518,22549,PICTURE DOMINOES,144,2011-02-09 11:21:00,1.25,12753,Japan,180.0,2011,2,Wednesday,11,2011-02-09,Asia
551009,22966,GINGERBREAD MAN COOKIE CUTTER,1,2011-04-26 09:50:00,2.46,15287,United Kingdom,2.46,2011,4,Tuesday,9,2011-04-26,UK
550622,22549,PICTURE DOMINOES,1,2011-04-19 13:49:00,1.45,13735,United Kingdom,1.45,2011,4,Tuesday,13,2011-04-19,UK
540372,21726,MULTI HEARTS  STICKERS,12,2011-01-06 16:41:00,0.85,13081,United Kingdom,10.2,2011,1,Thursday,16,2011-01-06,UK
561906,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,4,2011-08-01 10:03:00,3.75,12921,United Kingdom,15.0,2011,8,Monday,10,2011-08-01,UK
575930,22348,TEA BAG PLATE RED RETROSPOT,1,2011-11-11 17:58:00,1.63,15287,United Kingdom,1.63,2011,11,Friday,17,2011-11-11,UK
578347,23425,STORAGE TIN HOME SWEET HOME,1,2011-11-24 09:26:00,4.96,15287,United Kingdom,4.96,2011,11,Thursday,9,2011-11-24,UK
577107,23203,JUMBO BAG VINTAGE DOILY ,10,2011-11-17 17:30:00,2.08,16558,United Kingdom,20.8,2011,11,Thursday,17,2011-11-17,UK
537036,22625,RED KITCHEN SCALES,1,2010-12-03 17:28:00,8.5,15545,United Kingdom,8.5,2010,12,Friday,17,2010-12-03,UK
567370,20750,RED RETROSPOT MINI CASES,24,2011-09-20 09:13:00,6.35,14236,United Kingdom,152.39999999999998,2011,9,Tuesday,9,2011-09-20,UK
541241,22192,BLUE DINER WALL CLOCK,1,2011-01-16 11:08:00,8.5,13782,United Kingdom,8.5,2011,1,Sunday,11,2011-01-16,UK
539586,22782,SET 3 WICKER STORAGE BASKETS ,16,2010-12-20 13:08:00,9.95,14298,United Kingdom,159.2,2010,12,Monday,13,2010-12-20,UK
557595,22485,SET OF 2 WOODEN MARKET CRATES,2,2011-06-21 11:19:00,12.75,15507,United Kingdom,25.5,2011,6,Tuesday,11,2011-06-21,UK
565841,20979,36 PENCILS TUBE RED RETROSPOT,2,2011-09-07 12:04:00,2.46,15287,United Kingdom,4.92,2011,9,Wednesday,12,2011-09-07,UK
575117,21756,BATH BUILDING BLOCK WORD,1,2011-11-08 14:22:00,6.25,12748,United Kingdom,6.25,2011,11,Tuesday,14,2011-11-08,UK
544481,22855,FINE WICKER HEART ,12,2011-02-21 10:36:00,1.25,18155,United Kingdom,15.0,2011,2,Monday,10,2011-02-21,UK
544670,22251,BIRDHOUSE DECORATION MAGIC GARDEN,2,2011-02-22 15:22:00,1.25,16161,United Kingdom,2.5,2011,2,Tuesday,15,2011-02-22,UK
580650,22185,SLATE TILE NATURAL HANGING,12,2011-12-05 13:30:00,0.79,14401,United Kingdom,9.48,2011,12,Monday,13,2011-12-05,UK
543651,21891,TRADITIONAL WOODEN SKIPPING ROPE,12,2011-02-11 10:06:00,1.25,16306,United Kingdom,15.0,2011,2,Friday,10,2011-02-11,UK
563540,22608,PENS ASSORTED FUNKY JEWELED ,36,2011-08-17 12:04:00,0.19,12473,Germany,6.84,2011,8,Wednesday,12,2011-08-17,Europe
571061,20679,EDWARDIAN PARASOL RED,1,2011-10-13 14:33:00,12.46,15287,United Kingdom,12.46,2011,10,Thursday,14,2011-10-13,UK
543507,21931,JUMBO STORAGE BAG SUKI,20,2011-02-09 10:49:00,1.95,15039,United Kingdom,39.0,2011,2,Wednesday,10,2011-02-09,UK
550137,48188,DOORMAT WELCOME PUPPIES,2,2011-04-14 13:59:00,7.95,12477,Germany,15.9,2011,4,Thursday,13,2011-04-14,Europe
558647,22384,LUNCH BAG PINK POLKADOT,10,2011-07-01 10:39:00,1.65,14868,United Kingdom,16.5,2011,7,Friday,10,2011-07-01,UK
540458,22711,WRAP CIRCUS PARADE,25,2011-01-07 12:28:00,0.42,12501,Germany,10.5,2011,1,Friday,12,2011-01-07,Europe
552678,21731,RED TOADSTOOL LED NIGHT LIGHT,2,2011-05-10 15:08:00,4.13,15287,United Kingdom,8.26,2011,5,Tuesday,15,2011-05-10,UK
540512,84849D,HOT BATHS SOAP HOLDER,1,2011-01-09 11:39:00,1.69,17114,United Kingdom,1.69,2011,1,Sunday,11,2011-01-09,UK
568408,20677,PINK POLKADOT BOWL,7,2011-09-27 10:40:00,2.46,15287,United Kingdom,17.22,2011,9,Tuesday,10,2011-09-27,UK
574685,23570,TRADITIONAL PICK UP STICKS GAME ,12,2011-11-06 12:59:00,1.25,17581,United Kingdom,15.0,2011,11,Sunday,12,2011-11-06,UK
561369,46776D,WOVEN SUNSET CUSHION COVER ,1,2011-07-26 16:22:00,4.13,15287,United Kingdom,4.13,2011,7,Tuesday,16,2011-07-26,UK
572045,21479,WHITE SKULL HOT WATER BOTTLE ,2,2011-10-20 12:11:00,4.25,14527,United Kingdom,8.5,2011,10,Thursday,12,2011-10-20,UK
579671,23073,GEORGIAN TRINKET BOX,1,2011-11-30 12:38:00,12.5,12966,United Kingdom,12.5,2011,11,Wednesday,12,2011-11-30,UK
563193,22723,SET OF 6 HERB TINS SKETCHBOOK,1,2011-08-12 16:30:00,8.29,15287,United Kingdom,8.29,2011,8,Friday,16,2011-08-12,UK
543983,82583,HOT BATHS METAL SIGN,12,2011-02-15 09:20:00,2.1,16979,United Kingdom,25.200000000000003,2011,2,Tuesday,9,2011-02-15,UK
572835,23581,JUMBO BAG PAISLEY PARK,100,2011-10-26 11:49:00,1.79,17428,United Kingdom,179.0,2011,10,Wednesday,11,2011-10-26,UK
555722,22801,ANTIQUE GLASS PEDESTAL BOWL,1,2011-06-06 16:06:00,7.46,15287,United Kingdom,7.46,2011,6,Monday,16,2011-06-06,UK
555896,21871,SAVE THE PLANET MUG,6,2011-06-07 16:04:00,1.25,15640,United Kingdom,7.5,2011,6,Tuesday,16,2011-06-07,UK
569653,22336,DOVE DECORATION PAINTED ZINC ,96,2011-10-05 12:52:00,0.19,12451,Switzerland,18.24,2011,10,Wednesday,12,2011-10-05,Europe
575930,22604,SET OF 4 NAPKIN CHARMS CUTLERY,2,2011-11-11 17:58:00,4.96,15287,United Kingdom,9.92,2011,11,Friday,17,2011-11-11,UK
553225,23156,SET OF 5 MINI GROCERY MAGNETS,12,2011-05-16 10:41:00,2.08,16912,United Kingdom,24.96,2011,5,Monday,10,2011-05-16,UK
559142,22424,ENAMEL BREAD BIN CREAM,1,2011-07-06 14:01:00,12.75,17719,United Kingdom,12.75,2011,7,Wednesday,14,2011-07-06,UK
550500,84988,SET OF 72 PINK HEART PAPER DOILIES,1,2011-04-18 15:26:00,2.92,15287,United Kingdom,2.92,2011,4,Monday,15,2011-04-18,UK
562113,22907,PACK OF 20 NAPKINS PANTRY DESIGN,2,2011-08-02 16:11:00,1.63,15287,United Kingdom,3.26,2011,8,Tuesday,16,2011-08-02,UK
549746,22672,FRENCH BATHROOM SIGN BLUE METAL,96,2011-04-12 10:38:00,1.45,15251,United Kingdom,139.2,2011,4,Tuesday,10,2011-04-12,UK
570253,23040,PAPER LANTERN 9 POINT SNOW STAR ,120,2011-10-10 09:18:00,4.95,14156,EIRE,594.0,2011,10,Monday,9,2011-10-10,Europe
559034,21156,RETROSPOT CHILDRENS APRON,8,2011-07-05 14:56:00,1.95,13109,United Kingdom,15.6,2011,7,Tuesday,14,2011-07-05,UK
569408,23351,ROLL WRAP 50'S CHRISTMAS,72,2011-10-04 09:26:00,1.04,13881,United Kingdom,74.88,2011,10,Tuesday,9,2011-10-04,UK
570246,22775,PURPLE DRAWERKNOB ACRYLIC EDWARDIAN,2,2011-10-09 16:22:00,1.25,16921,United Kingdom,2.5,2011,10,Sunday,16,2011-10-09,UK
537237,21231,SWEETHEART CERAMIC TRINKET BOX,6,2010-12-06 09:58:00,2.51,15287,United Kingdom,15.06,2010,12,Monday,9,2010-12-06,UK
575932,23154,SET OF 4 JAM JAR MAGNETS,2,2011-11-13 10:35:00,2.08,16923,United Kingdom,4.16,2011,11,Sunday,10,2011-11-13,UK
542131,22074,6 RIBBONS SHIMMERING PINKS ,24,2011-01-25 15:55:00,0.42,16133,United Kingdom,10.08,2011,1,Tuesday,15,2011-01-25,UK
574643,84596F,SMALL MARSHMALLOWS PINK BOWL,8,2011-11-06 11:25:00,0.42,17387,United Kingdom,3.36,2011,11,Sunday,11,2011-11-06,UK
564758,21210,SET OF 72 RETROSPOT PAPER  DOILIES,1,2011-08-30 10:39:00,2.92,15287,United Kingdom,2.92,2011,8,Tuesday,10,2011-08-30,UK
554968,22831,WHITE BROCANTE SOAP DISH,3,2011-05-27 16:24:00,2.95,17961,United Kingdom,8.850000000000001,2011,5,Friday,16,2011-05-27,UK
538714,85049D,BRIGHT BLUES RIBBONS ,4,2010-12-14 11:01:00,1.25,14524,United Kingdom,5.0,2010,12,Tuesday,11,2010-12-14,UK
574091,23581,JUMBO BAG PAISLEY PARK,10,2011-11-03 09:20:00,2.08,17086,United Kingdom,20.8,2011,11,Thursday,9,2011-11-03,UK
576607,POST,POSTAGE,4,2011-11-15 15:42:00,18.0,12474,Germany,72.0,2011,11,Tuesday,15,2011-11-15,Europe
550775,23132,SMALL IVORY HEART WALL ORGANISER,12,2011-04-20 13:18:00,4.95,15805,United Kingdom,59.400000000000006,2011,4,Wednesday,13,2011-04-20,UK
563905,21706,FOLDING UMBRELLA RED/WHITE POLKADOT,4,2011-08-21 11:43:00,4.95,13267,United Kingdom,19.8,2011,8,Sunday,11,2011-08-21,UK
551125,90143,SILVER BRACELET W PASTEL FLOWER,4,2011-04-26 12:47:00,7.5,17277,United Kingdom,30.0,2011,4,Tuesday,12,2011-04-26,UK
573076,20970,PINK FLORAL FELTCRAFT SHOULDER BAG,4,2011-10-27 14:05:00,3.75,13488,United Kingdom,15.0,2011,10,Thursday,14,2011-10-27,UK
563016,22851,SET 20 NAPKINS FAIRY CAKES DESIGN ,12,2011-08-11 12:44:00,0.85,15358,United Kingdom,10.2,2011,8,Thursday,12,2011-08-11,UK
581129,23319,BOX OF 6 MINI 50'S CRACKERS,6,2011-12-07 12:48:00,2.49,15498,United Kingdom,14.94,2011,12,Wednesday,12,2011-12-07,UK
562031,21621,VINTAGE UNION JACK BUNTING,3,2011-08-01 17:37:00,8.5,16984,United Kingdom,25.5,2011,8,Monday,17,2011-08-01,UK
562256,22425,ENAMEL COLANDER CREAM,3,2011-08-03 15:14:00,4.95,15152,United Kingdom,14.85,2011,8,Wednesday,15,2011-08-03,UK
560726,22155,STAR DECORATION RUSTIC,1,2011-07-20 14:16:00,0.42,17962,United Kingdom,0.42,2011,7,Wednesday,14,2011-07-20,UK
551277,21899,"KEY FOB , GARAGE DESIGN",2,2011-04-27 13:06:00,0.65,13637,United Kingdom,1.3,2011,4,Wednesday,13,2011-04-27,UK
567673,21976,PACK OF 60 MUSHROOM CAKE CASES,1,2011-09-21 15:43:00,1.25,15287,United Kingdom,1.25,2011,9,Wednesday,15,2011-09-21,UK
559038,21232,STRAWBERRY CERAMIC TRINKET BOX,6,2011-07-05 15:31:00,3.29,15287,United Kingdom,19.74,2011,7,Tuesday,15,2011-07-05,UK
578261,82484,WOOD BLACK BOARD ANT WHITE FINISH,24,2011-11-23 13:24:00,6.75,14216,United Kingdom,162.0,2011,11,Wednesday,13,2011-11-23,UK
541423,22473,TV DINNER TRAY VINTAGE PAISLEY,1,2011-01-17 17:54:00,4.13,15287,United Kingdom,4.13,2011,1,Monday,17,2011-01-17,UK
566781,22553,PLASTERS IN TIN SKULLS,12,2011-09-15 10:11:00,1.65,17333,United Kingdom,19.8,2011,9,Thursday,10,2011-09-15,UK
568945,23133,LARGE IVORY HEART WALL ORGANISER,4,2011-09-29 14:52:00,8.25,14239,United Kingdom,33.0,2011,9,Thursday,14,2011-09-29,UK
563638,21987,PACK OF 6 SKULL PAPER CUPS,5,2011-08-18 10:36:00,0.65,15311,United Kingdom,3.25,2011,8,Thursday,10,2011-08-18,UK
581405,21383,PACK OF 12 STICKY BUNNIES,1,2011-12-08 13:50:00,0.65,13521,United Kingdom,0.65,2011,12,Thursday,13,2011-12-08,UK
553375,85183B,CHARLIE & LOLA WASTEPAPER BIN FLORA,12,2011-05-16 14:53:00,1.25,14911,EIRE,15.0,2011,5,Monday,14,2011-05-16,Europe
569544,20657,TROPICAL LUGGAGE TAG,1,2011-10-04 16:33:00,2.46,15287,United Kingdom,2.46,2011,10,Tuesday,16,2011-10-04,UK
559817,21786,POLKADOT RAIN HAT ,1,2011-07-12 16:20:00,0.83,15287,United Kingdom,0.83,2011,7,Tuesday,16,2011-07-12,UK
556942,21878,PACK OF 6 SANDCASTLE FLAGS ASSORTED,12,2011-06-15 16:42:00,0.85,14222,United Kingdom,10.2,2011,6,Wednesday,16,2011-06-15,UK
548712,22557,PLASTERS IN TIN VINTAGE PAISLEY ,10,2011-04-03 14:42:00,1.65,17050,United Kingdom,16.5,2011,4,Sunday,14,2011-04-03,UK
566562,22732,3D VINTAGE CHRISTMAS STICKERS ,12,2011-09-13 12:18:00,1.25,17365,United Kingdom,15.0,2011,9,Tuesday,12,2011-09-13,UK
552804,22768,FAMILY PHOTO FRAME CORNICE,2,2011-05-11 12:32:00,9.95,15615,United Kingdom,19.9,2011,5,Wednesday,12,2011-05-11,UK
558614,22329,ROUND CONTAINER SET OF 5 RETROSPOT,5,2011-06-30 15:56:00,1.63,15287,United Kingdom,8.149999999999999,2011,6,Thursday,15,2011-06-30,UK
561719,23016,GLASS TWIST BON BON JAR,2,2011-07-29 12:09:00,7.85,17519,United Kingdom,15.7,2011,7,Friday,12,2011-07-29,UK
539437,21479,WHITE SKULL HOT WATER BOTTLE ,5,2010-12-17 14:54:00,3.75,15287,United Kingdom,18.75,2010,12,Friday,14,2010-12-17,UK
575739,22592,CARDHOLDER HOLLY WREATH METAL,3,2011-11-11 09:05:00,7.46,15287,United Kingdom,22.38,2011,11,Friday,9,2011-11-11,UK
550464,22907,PACK OF 20 NAPKINS PANTRY DESIGN,4,2011-04-18 13:30:00,0.85,16550,United Kingdom,3.4,2011,4,Monday,13,2011-04-18,UK
575837,22998,TRAVEL CARD WALLET KEEP CALM,24,2011-11-11 11:37:00,0.42,12748,United Kingdom,10.08,2011,11,Friday,11,2011-11-11,UK
567911,22577,WOODEN HEART CHRISTMAS SCANDINAVIAN,24,2011-09-22 17:00:00,0.29,14854,United Kingdom,6.959999999999999,2011,9,Thursday,17,2011-09-22,UK
581419,22529,MAGIC DRAWING SLATE GO TO THE FAIR ,24,2011-12-08 15:03:00,0.42,15484,United Kingdom,10.08,2011,12,Thursday,15,2011-12-08,UK
564840,85017B,ENVELOPE 50 BLOSSOM IMAGES,1,2011-08-30 12:49:00,0.83,15287,United Kingdom,0.83,2011,8,Tuesday,12,2011-08-30,UK
547042,85039B,S/4 IVORY MINI ROSE CANDLE IN BOWL,1,2011-03-20 11:00:00,1.63,15287,United Kingdom,1.63,2011,3,Sunday,11,2011-03-20,UK
536990,22383,LUNCH BAG SUKI  DESIGN ,10,2010-12-03 15:14:00,1.65,12793,Portugal,16.5,2010,12,Friday,15,2010-12-03,Europe
579187,22196,SMALL HEART MEASURING SPOONS,2,2011-11-28 15:31:00,1.63,15287,United Kingdom,3.26,2011,11,Monday,15,2011-11-28,UK
541830,84510E,SET OF 4 GREEN CAROUSEL COASTERS,2,2011-01-21 17:09:00,2.46,15287,United Kingdom,4.92,2011,1,Friday,17,2011-01-21,UK
554855,16156S,WRAP PINK FAIRY CAKES ,25,2011-05-27 09:48:00,0.42,15172,United Kingdom,10.5,2011,5,Friday,9,2011-05-27,UK
545217,22161,HEART DECORATION RUSTIC HANGING ,1,2011-02-28 16:59:00,0.79,15287,United Kingdom,0.79,2011,2,Monday,16,2011-02-28,UK
